id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue
459,2014,30,2014-04-17,7,5,5,1,normal,0,5,0,8,YS Chahal,Sharjah Cricket Stadium
460,2014,29,2014-04-18,9,8,9,2,normal,0,8,0,6,GJ Maxwell,Sheikh Zayed Stadium
461,2014,29,2014-04-18,1,10,10,1,normal,0,10,0,4,AM Rahane,Sheikh Zayed Stadium
462,2014,31,2014-04-19,2,5,5,1,normal,0,5,0,7,PA Patel,Dubai International Cricket Stadium
463,2014,31,2014-04-19,6,7,6,2,normal,0,7,0,4,JP Duminy,Dubai International Cricket Stadium
464,2014,30,2014-04-20,10,8,8,1,normal,0,8,0,7,GJ Maxwell,Sharjah Cricket Stadium
465,2014,29,2014-04-21,9,7,9,2,normal,0,9,93,0,SK Raina,Sheikh Zayed Stadium
466,2014,30,2014-04-22,8,1,1,1,normal,0,8,72,0,GJ Maxwell,Sharjah Cricket Stadium
467,2014,31,2014-04-23,9,10,10,1,normal,0,9,7,0,RA Jadeja,Dubai International Cricket Stadium
468,2014,30,2014-04-24,6,5,5,1,normal,0,6,2,0,CA Lynn,Sharjah Cricket Stadium
469,2014,31,2014-04-25,1,7,1,2,normal,0,1,4,0,AJ Finch,Dubai International Cricket Stadium
470,2014,31,2014-04-25,2,9,2,2,normal,0,9,0,7,MM Sharma,Dubai International Cricket Stadium
471,2014,29,2014-04-26,5,10,10,1,normal,0,10,0,6,PV Tambe,Sheikh Zayed Stadium
472,2014,29,2014-04-26,8,6,6,1,normal,0,8,23,0,Sandeep Sharma,Sheikh Zayed Stadium
473,2014,30,2014-04-27,2,7,2,2,normal,0,7,0,6,M Vijay,Sharjah Cricket Stadium
474,2014,30,2014-04-27,1,9,1,2,normal,0,9,0,5,DR Smith,Sharjah Cricket Stadium
475,2014,31,2014-04-28,5,8,8,1,normal,0,8,0,5,Sandeep Sharma,Dubai International Cricket Stadium
476,2014,29,2014-04-29,10,6,10,2,tie,0,10,0,0,JP Faulkner,Sheikh Zayed Stadium
477,2014,31,2014-04-30,1,2,2,1,normal,0,1,15,0,B Kumar,Dubai International Cricket Stadium
478,2014,28,2014-05-02,9,6,9,2,normal,0,9,34,0,RA Jadeja,JSCA International Stadium Complex
479,2014,6,2014-05-03,8,2,8,2,normal,0,2,0,5,CJ Anderson,Wankhede Stadium
480,2014,8,2014-05-03,7,10,10,1,normal,0,10,0,7,KK Nair,Feroz Shah Kotla
481,2014,5,2014-05-04,1,5,5,1,normal,0,5,0,4,AB de Villiers,M Chinnaswamy Stadium
482,2014,21,2014-05-05,10,6,6,1,normal,0,10,10,0,PV Tambe,"Sardar Patel Stadium, Motera"
483,2014,8,2014-05-05,7,9,9,1,normal,0,9,0,8,DR Smith,Feroz Shah Kotla
484,2014,6,2014-05-06,2,5,5,1,normal,0,2,19,0,RG Sharma,Wankhede Stadium
485,2014,8,2014-05-07,7,6,7,2,normal,0,6,0,8,G Gambhir,Feroz Shah Kotla
486,2014,22,2014-05-07,8,9,9,1,normal,0,8,44,0,GJ Maxwell,Barabati Stadium
487,2014,21,2014-05-08,1,10,10,1,normal,0,1,32,0,B Kumar,"Sardar Patel Stadium, Motera"
488,2014,5,2014-05-09,8,5,5,1,normal,0,8,32,0,Sandeep Sharma,M Chinnaswamy Stadium
489,2014,8,2014-05-10,7,1,1,1,normal,1,1,0,8,DW Steyn,Feroz Shah Kotla
490,2014,6,2014-05-10,2,9,9,1,normal,0,9,0,4,DR Smith,Wankhede Stadium
491,2014,22,2014-05-11,8,6,6,1,normal,0,6,0,9,G Gambhir,Barabati Stadium
492,2014,5,2014-05-11,5,10,5,2,normal,0,10,0,5,JP Faulkner,M Chinnaswamy Stadium
493,2014,1,2014-05-12,1,2,1,2,normal,0,2,0,7,AT Rayudu,"Rajiv Gandhi International Stadium, Uppal"
494,2014,28,2014-05-13,10,9,10,2,normal,0,9,0,5,RA Jadeja,JSCA International Stadium Complex
495,2014,5,2014-05-13,5,7,7,1,normal,0,5,16,0,Yuvraj Singh,M Chinnaswamy Stadium
496,2014,1,2014-05-14,1,8,8,1,normal,0,8,0,6,WP Saha,"Rajiv Gandhi International Stadium, Uppal"
497,2014,22,2014-05-14,2,6,6,1,normal,0,6,0,6,RV Uthappa,Barabati Stadium
498,2014,21,2014-05-15,10,7,7,1,normal,0,10,62,0,AM Rahane,"Sardar Patel Stadium, Motera"
499,2014,28,2014-05-18,9,5,9,2,normal,0,5,0,5,AB de Villiers,JSCA International Stadium Complex
500,2014,1,2014-05-18,1,6,1,2,normal,0,6,0,7,UT Yadav,"Rajiv Gandhi International Stadium, Uppal"
501,2014,21,2014-05-19,2,10,2,2,normal,0,2,25,0,MEK Hussey,"Sardar Patel Stadium, Motera"
502,2014,8,2014-05-19,7,8,8,1,normal,0,8,0,4,AR Patel,Feroz Shah Kotla
503,2014,1,2014-05-20,5,1,5,2,normal,0,1,0,7,DA Warner,"Rajiv Gandhi International Stadium, Uppal"
504,2014,7,2014-05-20,9,6,6,1,normal,0,6,0,8,RV Uthappa,Eden Gardens
505,2014,9,2014-05-21,8,2,2,1,normal,0,2,0,7,LMP Simmons,"Punjab Cricket Association Stadium, Mohali"
506,2014,7,2014-05-22,6,5,5,1,normal,0,6,30,0,RV Uthappa,Eden Gardens
507,2014,28,2014-05-22,9,1,1,1,normal,0,1,0,6,DA Warner,JSCA International Stadium Complex
508,2014,6,2014-05-23,2,7,7,1,normal,0,2,15,0,MEK Hussey,Wankhede Stadium
509,2014,9,2014-05-23,8,10,10,1,normal,0,8,16,0,SE Marsh,"Punjab Cricket Association Stadium, Mohali"
510,2014,5,2014-05-24,5,9,9,1,normal,0,9,0,8,MS Dhoni,M Chinnaswamy Stadium
511,2014,7,2014-05-24,1,6,6,1,normal,0,6,0,4,YK Pathan,Eden Gardens
512,2014,9,2014-05-25,7,8,8,1,normal,0,8,0,7,M Vohra,"Punjab Cricket Association Stadium, Mohali"
513,2014,6,2014-05-25,10,2,2,1,normal,0,2,0,5,CJ Anderson,Wankhede Stadium
514,2014,7,2014-05-27,6,8,8,1,normal,0,6,28,0,UT Yadav,Eden Gardens
515,2014,6,2014-05-28,2,9,9,1,normal,0,9,0,7,SK Raina,Brabourne Stadium
516,2014,6,2014-05-30,8,9,9,1,normal,0,8,24,0,V Sehwag,Wankhede Stadium
517,2014,5,2014-06-01,8,6,6,1,normal,0,6,0,3,MK Pandey,M Chinnaswamy Stadium
518,2015,7,2015-04-08,2,6,6,1,normal,0,6,0,7,M Morkel,Eden Gardens
519,2015,12,2015-04-09,9,7,7,1,normal,0,9,1,0,A Nehra,"MA Chidambaram Stadium, Chepauk"
520,2015,2,2015-04-10,10,8,8,1,normal,0,10,26,0,JP Faulkner,Maharashtra Cricket Association Stadium
521,2015,12,2015-04-11,9,1,9,2,normal,0,9,45,0,BB McCullum,"MA Chidambaram Stadium, Chepauk"
522,2015,7,2015-04-11,6,5,5,1,normal,0,5,0,3,CH Gayle,Eden Gardens
523,2015,8,2015-04-12,7,10,10,1,normal,0,10,0,3,DJ Hooda,Feroz Shah Kotla
524,2015,6,2015-04-12,8,2,2,1,normal,0,8,18,0,GJ Bailey,Wankhede Stadium
525,2015,5,2015-04-13,5,1,1,1,normal,0,1,0,8,DA Warner,M Chinnaswamy Stadium
526,2015,21,2015-04-14,2,10,2,2,normal,0,10,0,7,SPD Smith,"Sardar Patel Stadium, Motera"
527,2015,7,2015-04-30,9,6,6,1,normal,0,6,0,7,AD Russell,Eden Gardens
528,2015,2,2015-04-15,8,7,8,2,normal,0,7,0,5,MA Agarwal,Maharashtra Cricket Association Stadium
529,2015,26,2015-04-16,1,10,10,1,normal,0,10,0,6,AM Rahane,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
530,2015,6,2015-04-17,2,9,2,2,normal,0,9,0,6,A Nehra,Wankhede Stadium
